"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000139835.9",247.247100718392,-0.625403761769061,0.210037005564283,-2.97758844965848,0.00290525803096376,0.0199253836025698,"GRTP1","79774"
"ENSG00000136280.11",2265.39700225231,-0.616647351644597,0.207098652917134,-2.97755365840711,0.00290558779098892,0.0199253836025698,"CCM2","83605"
"ENSG00000132832.5",22.9003081384086,-1.53684188100392,0.516148933357841,-2.97751633623631,0.00290594157767092,0.0199253836025698,NA,NA
"ENSG00000173156.2",1092.49978816872,0.722146343808034,0.24254859510229,2.97732643433158,0.00290774231688364,0.0199334376400318,"RHOD","29984"
"ENSG00000152292.12",250.778844982735,0.87227347251018,0.29301169280803,2.9769237676179,0.00291156396194265,0.0199553391372241,"SH2D6","284948"
"ENSG00000165898.9",1113.1041391619,0.339129785474741,0.113924168408107,2.97680281729059,0.00291271277704379,0.0199589160503586,"ISCA2","122961"
"ENSG00000163535.13",128.721330137675,-0.73679854145217,0.247531123942943,-2.97658948788195,0.00291474003913742,0.0199685095515341,"SGO2","151246"
"ENSG00000138347.11",10.2131985042924,-1.92525880941739,0.646909438698548,-2.97608705986827,0.00291951968445816,0.0199969510917405,"MYPN","84665"
"ENSG00000248415.1",4.94245382504622,-1.46899601304853,0.493694537342719,-2.975516036607,0.00292496056696604,0.020029908498587,NA,NA
"ENSG00000267353.1",6.19269002734045,-1.68169169426855,0.565227742192658,-2.97524620384848,0.0029275348334169,0.0200432255820775,NA,NA
"ENSG00000139874.5",77.9107679341466,1.17107241143468,0.393690276484973,2.97460334019547,0.00293367623346176,0.0200809538956114,"SSTR1","6751"
"ENSG00000255103.1",326.632190165069,0.844889397926209,0.284045516145696,2.97448595348655,0.0029347989198933,0.0200843203812819,NA,NA
"ENSG00000006016.6",3670.60877141266,1.34927770668185,0.453670554476593,2.97413551170086,0.00293815287783595,0.0201029518630529,"CRLF1","9244"
